instant,dteday,season,yr,mnth,hr,holiday,weekday,weathersit,temp
465,21-01-2011,1,0,1,9,FALSE,5,1,0.2
466,21-01-2011,1,0,1,10,FALSE,5,1,0.2
467,21-01-2011,1,0,1,11,FALSE,5,1,0.22
468,21-01-2011,1,0,1,12,FALSE,5,1,0.22
469,21-01-2011,1,0,1,13,FALSE,5,1,0.2
470,21-01-2011,1,0,1,14,FALSE,5,1,0.2
471,21-01-2011,1,0,1,15,FALSE,5,1,0.16
472,21-01-2011,1,0,1,16,FALSE,5,1,0.16
473,21-01-2011,1,0,1,17,FALSE,5,1,0.14
474,21-01-2011,1,0,1,18,FALSE,5,1,0.12
475,21-01-2011,1,0,1,19,FALSE,5,1,0.12
476,21-01-2011,1,0,1,20,FALSE,5,1,0.1
477,21-01-2011,1,0,1,21,FALSE,5,1,0.08
478,21-01-2011,1,0,1,22,FALSE,5,1,0.06
479,21-01-2011,1,0,1,23,FALSE,5,1,0.06
480,22-01-2011,1,0,1,0,FALSE,6,1,0.04
481,22-01-2011,1,0,1,1,FALSE,6,2,0.04
482,22-01-2011,1,0,1,2,FALSE,6,2,0.04
483,22-01-2011,1,0,1,3,FALSE,6,2,0.04
484,22-01-2011,1,0,1,4,FALSE,6,2,0.02
485,22-01-2011,1,0,1,6,FALSE,6,2,0.02
486,22-01-2011,1,0,1,7,FALSE,6,1,0.02
487,22-01-2011,1,0,1,8,FALSE,6,1,0.02
488,22-01-2011,1,0,1,9,FALSE,6,1,0.04
489,22-01-2011,1,0,1,10,FALSE,6,2,0.04
490,22-01-2011,1,0,1,11,FALSE,6,2,0.06
491,22-01-2011,1,0,1,12,FALSE,6,2,0.06
492,22-01-2011,1,0,1,13,FALSE,6,1,0.08
493,22-01-2011,1,0,1,14,FALSE,6,1,0.1
494,22-01-2011,1,0,1,15,FALSE,6,1,0.12
495,22-01-2011,1,0,1,16,FALSE,6,1,0.12
496,22-01-2011,1,0,1,17,FALSE,6,1,0.12
497,22-01-2011,1,0,1,18,FALSE,6,1,0.08
498,22-01-2011,1,0,1,19,FALSE,6,1,0.08
499,22-01-2011,1,0,1,20,FALSE,6,1,0.06
500,22-01-2011,1,0,1,21,FALSE,6,1,0.06
501,22-01-2011,1,0,1,22,FALSE,6,1,0.06
502,22-01-2011,1,0,1,23,FALSE,6,1,0.04
503,23-01-2011,1,0,1,0,FALSE,0,1,0.04
504,23-01-2011,1,0,1,1,FALSE,0,1,0.04
505,23-01-2011,1,0,1,2,FALSE,0,1,0.02
506,23-01-2011,1,0,1,3,FALSE,0,1,0.02
507,23-01-2011,1,0,1,5,FALSE,0,2,0.04
508,23-01-2011,1,0,1,6,FALSE,0,2,0.04
509,23-01-2011,1,0,1,7,FALSE,0,1,0.08
510,23-01-2011,1,0,1,8,FALSE,0,1,0.06
511,23-01-2011,1,0,1,9,FALSE,0,1,0.1
512,23-01-2011,1,0,1,10,FALSE,0,1,0.14
513,23-01-2011,1,0,1,11,FALSE,0,1,0.14
514,23-01-2011,1,0,1,12,FALSE,0,1,0.16
515,23-01-2011,1,0,1,13,FALSE,0,1,0.14
516,23-01-2011,1,0,1,14,FALSE,0,1,0.16
517,23-01-2011,1,0,1,15,FALSE,0,1,0.16
518,23-01-2011,1,0,1,16,FALSE,0,1,0.16
519,23-01-2011,1,0,1,17,FALSE,0,1,0.14
520,23-01-2011,1,0,1,18,FALSE,0,1,0.12
521,23-01-2011,1,0,1,19,FALSE,0,1,0.12
522,23-01-2011,1,0,1,20,FALSE,0,1,0.1
523,23-01-2011,1,0,1,21,FALSE,0,1,0.1
524,23-01-2011,1,0,1,22,FALSE,0,1,0.08
525,23-01-2011,1,0,1,23,FALSE,0,1,0.06
526,24-01-2011,1,0,1,0,FALSE,1,1,0.06
527,24-01-2011,1,0,1,1,FALSE,1,1,0.04
528,24-01-2011,1,0,1,3,FALSE,1,1,0.04
529,24-01-2011,1,0,1,4,FALSE,1,1,0.02
530,24-01-2011,1,0,1,5,FALSE,1,1,0.02
531,24-01-2011,1,0,1,6,FALSE,1,1,0.02
532,24-01-2011,1,0,1,7,FALSE,1,1,0.02
533,24-01-2011,1,0,1,8,FALSE,1,1,0.04
534,24-01-2011,1,0,1,9,FALSE,1,1,0.06
535,24-01-2011,1,0,1,10,FALSE,1,1,0.1
536,24-01-2011,1,0,1,11,FALSE,1,1,0.1
537,24-01-2011,1,0,1,12,FALSE,1,2,0.12
538,24-01-2011,1,0,1,13,FALSE,1,2,0.14
539,24-01-2011,1,0,1,14,FALSE,1,2,0.14
540,24-01-2011,1,0,1,15,FALSE,1,1,0.16
541,24-01-2011,1,0,1,16,FALSE,1,1,0.16
542,24-01-2011,1,0,1,17,FALSE,1,1,0.14
543,24-01-2011,1,0,1,18,FALSE,1,1,0.14
544,24-01-2011,1,0,1,19,FALSE,1,1,0.14
545,24-01-2011,1,0,1,20,FALSE,1,1,0.14
546,24-01-2011,1,0,1,21,FALSE,1,1,0.14
547,24-01-2011,1,0,1,22,FALSE,1,2,0.14
548,24-01-2011,1,0,1,23,FALSE,1,2,0.16
549,25-01-2011,1,0,1,0,FALSE,2,2,0.16
550,25-01-2011,1,0,1,1,FALSE,2,2,0.16
551,25-01-2011,1,0,1,2,FALSE,2,1,0.16
552,25-01-2011,1,0,1,4,FALSE,2,1,0.14
553,25-01-2011,1,0,1,5,FALSE,2,1,0.14
554,25-01-2011,1,0,1,6,FALSE,2,1,0.16
555,25-01-2011,1,0,1,7,FALSE,2,1,0.16
556,25-01-2011,1,0,1,8,FALSE,2,2,0.16
557,25-01-2011,1,0,1,9,FALSE,2,2,0.2
558,25-01-2011,1,0,1,10,FALSE,2,2,0.22
559,25-01-2011,1,0,1,11,FALSE,2,2,0.24
560,25-01-2011,1,0,1,12,FALSE,2,2,0.26
561,25-01-2011,1,0,1,13,FALSE,2,2,0.26
562,25-01-2011,1,0,1,14,FALSE,2,2,0.3
563,25-01-2011,1,0,1,15,FALSE,2,2,0.32
564,25-01-2011,1,0,1,16,FALSE,2,2,0.32
565,25-01-2011,1,0,1,17,FALSE,2,1,0.3
566,25-01-2011,1,0,1,18,FALSE,2,2,0.3
567,25-01-2011,1,0,1,19,FALSE,2,2,0.26
568,25-01-2011,1,0,1,20,FALSE,2,1,0.24
569,25-01-2011,1,0,1,21,FALSE,2,1,0.24
570,25-01-2011,1,0,1,22,FALSE,2,1,0.22
571,25-01-2011,1,0,1,23,FALSE,2,2,0.22
572,26-01-2011,1,0,1,0,FALSE,3,2,0.22
573,26-01-2011,1,0,1,1,FALSE,3,2,0.24
574,26-01-2011,1,0,1,2,FALSE,3,3,0.22
575,26-01-2011,1,0,1,5,FALSE,3,3,0.2
576,26-01-2011,1,0,1,6,FALSE,3,3,0.2
577,26-01-2011,1,0,1,7,FALSE,3,3,0.22
578,26-01-2011,1,0,1,8,FALSE,3,3,0.22
579,26-01-2011,1,0,1,9,FALSE,3,3,0.22
580,26-01-2011,1,0,1,10,FALSE,3,3,0.22
581,26-01-2011,1,0,1,11,FALSE,3,3,0.22
582,26-01-2011,1,0,1,12,FALSE,3,3,0.22
583,26-01-2011,1,0,1,13,FALSE,3,3,0.22
584,26-01-2011,1,0,1,14,FALSE,3,3,0.22
585,26-01-2011,1,0,1,15,FALSE,3,3,0.22
586,26-01-2011,1,0,1,16,FALSE,3,4,0.22
587,26-01-2011,1,0,1,17,FALSE,3,3,0.2
588,27-01-2011,1,0,1,16,FALSE,4,1,0.22
589,27-01-2011,1,0,1,17,FALSE,4,1,0.22
590,27-01-2011,1,0,1,18,FALSE,4,1,0.2
591,27-01-2011,1,0,1,19,FALSE,4,1,0.2
592,27-01-2011,1,0,1,20,FALSE,4,1,0.18
593,27-01-2011,1,0,1,21,FALSE,4,1,0.18
594,27-01-2011,1,0,1,22,FALSE,4,1,0.18
595,27-01-2011,1,0,1,23,FALSE,4,1,0.18
596,28-01-2011,1,0,1,0,FALSE,5,2,0.2
597,28-01-2011,1,0,1,1,FALSE,5,2,0.2
598,28-01-2011,1,0,1,2,FALSE,5,2,0.2
599,28-01-2011,1,0,1,3,FALSE,5,2,0.2
600,28-01-2011,1,0,1,5,FALSE,5,2,0.18
601,28-01-2011,1,0,1,6,FALSE,5,2,0.18
602,28-01-2011,1,0,1,7,FALSE,5,2,0.16
603,28-01-2011,1,0,1,8,FALSE,5,2,0.16
604,28-01-2011,1,0,1,9,FALSE,5,3,0.18
605,28-01-2011,1,0,1,10,FALSE,5,3,0.18
606,28-01-2011,1,0,1,11,FALSE,5,3,0.18
607,28-01-2011,1,0,1,12,FALSE,5,3,0.18
608,28-01-2011,1,0,1,13,FALSE,5,3,0.18
609,28-01-2011,1,0,1,14,FALSE,5,3,0.22
610,28-01-2011,1,0,1,15,FALSE,5,2,0.2
